,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
2353,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2531814,4586295.274,6.661462012,6.403431797,0.220227904,Threonine_1Bz,-0.05393629,Amino Acids,47_Media_Control_SA_Media
2354,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2348092,4253489.096,6.628745324,6.370715109,0.072159338,Tyrosine_2Bz,-0.171906096,Amino Acids,47_Media_Control_SA_Media
2355,47,Media,Control,SA,Media,57831738,104760233.8,1.811466116,2621535,4748821.825,6.676585875,6.41855566,0.043949216,Valine_1Bz,-0.174131683,Amino Acids,47_Media_Control_SA_Media
2356,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,4139035,6651016.059,6.822887996,6.616899099,0.059835611,Alanine_1Bz,-0.065191765,Amino Acids,48_Media_Control_SA_Media
2357,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,7683064,12345916.87,7.091523349,6.885534451,-0.10381259,Arginine_1Bz,-0.253979442,Amino Acids,48_Media_Control_SA_Media
2358,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,457038,734414.4415,5.865941208,5.659952311,-0.603599385,Asparagine_1Bz,-0.593246858,Amino Acids,48_Media_Control_SA_Media
2359,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,1506365,2420578.18,6.383919114,6.177930216,0.06020618,Aspartic.Acid_1Bz,-0.072811917,Amino Acids,48_Media_Control_SA_Media
2360,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,3198972,5140428.662,6.710999336,6.505010439,0.992921124,Beta.Alanine_1Bz,0.906461416,Amino Acids,48_Media_Control_SA_Media
2361,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,423450,680441.8784,5.832791035,5.626802137,0.617722275,Citrulline_1Bz,0.528371269,Amino Acids,48_Media_Control_SA_Media
2362,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,2158333,3468225.672,6.540107349,6.334118451,-0.43906998,Glutamic.Acid_1Bz,-0.499816481,Amino Acids,48_Media_Control_SA_Media
2363,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,523348,840967.992,5.924779466,5.718790569,0.191101152,Glutamine_1Bz,0.049018589,Amino Acids,48_Media_Control_SA_Media
2364,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,1210380,1944959.832,6.288910637,6.082921739,-0.111222497,Glycine_1Bz,-0.18449179,Amino Acids,48_Media_Control_SA_Media
2365,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,3178178,5107014.779,6.708167115,6.502178217,0.649181534,Histidine_1Bz,0.446552339,Amino Acids,48_Media_Control_SA_Media
2366,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,2787212,4478771.446,6.651158901,6.445170003,0.280588919,Isoleucine_1Bz,0.110299644,Amino Acids,48_Media_Control_SA_Media
2367,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,6087665,9782269.944,6.990439643,6.784450745,0.2912403,Leucine_1Bz,0.118128655,Amino Acids,48_Media_Control_SA_Media
2368,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,4959784,7969877.77,6.901451661,6.695462763,-0.076747029,Lysine_2Bz,-0.215333394,Amino Acids,48_Media_Control_SA_Media
2369,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,1530652,2459604.964,6.390865361,6.184876463,0.345375971,N.acetylputrescine_1Bz,0.23495591,Amino Acids,48_Media_Control_SA_Media
2370,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,2579871,4145595.157,6.617586888,6.411597991,0.100290069,Ornithine_2Bz,-0.018279505,Amino Acids,48_Media_Control_SA_Media
2371,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,4043335,6497235.713,6.812728623,6.606739725,0.318444918,Phenylalanine_1Bz,0.148200704,Amino Acids,48_Media_Control_SA_Media
2372,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,4910492,7890670.446,6.897113905,6.691125008,0.069548754,Proline_1Bz,-0.040427969,Amino Acids,48_Media_Control_SA_Media
