Feature ID	Taxon	Strain	Strain2	Confidence
6361ec6fe12c1b46169747b2e0105be6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Phellinopsis;s__Phellinopsis_conchata			0.999405782
24d1da86c02672526c8d9ba8a7db0bf5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium			0.973052181
f29a7fb4b50b7b7653f6375a395ffb71	k__Fungi			1
f42fce2c183220e1926f415acc2b08a4	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus			0.999968178
af784decf9f08a6c5c94bca9eebc5be3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae			0.999996909
867655cda4d5c07ab5df9b4f5539e17a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_leptobactrum			0.999986198
4ab1bfb3e5d15faf6729469c24692548	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_railenensis			0.990852346
13f78bc70fbdc9b19ed52b40d48b2146	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Fuscoporia;s__Fuscoporia_ferrea			0.970136347
7470aa9109cba05c5b10987b8d89fc44	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae			0.784117737
86cd4043d4b7d79a603f0eb4a9a7812b	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_atlantica			0.999956889
aca9c1bf5a741a5edb0cdb9e847977c9	k__Fungi			1
2f066220bcc0a2e1eacb92180f7785b7	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_macerans			0.999990213
4c264fe863a8760e800ab61cb90b8e1a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma;s__Hypholoma_fasciculare			0.998041356
dd30a17f38fa136c165541f58704ebd0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_micaceus			0.986937102
4f9eea60af7b08403a03f9ffb35a6ed7	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;s__Hymenoscyphus_menthae			0.984181182
412d5d7bd6ac181eafe111fe712221dd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_nubilum			0.976902394
47b768100f49ed0f60bd41bc24c794c4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_infectoria			0.957463805
129cdb1900f1af8d6de594b93cfda271	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma			0.999999852
